#separator:Tab
#html:true
#columns:word	sentence	translation	additional translations	wiktionary link	attributions
醫生	你認為我們應該派人去請<b>醫生</b>來嗎?	Do you think we should send for the doctor?		https://en.m.wiktionary.org/wiki/醫生#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #27900 (mcq) & #769672 (Martha)
食物	他给了我<b>食物</b>和钱。	He gave me food and money as well.		https://en.m.wiktionary.org/wiki/食物#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #299774 (CM) & #375363 (fucongcong)
忘	湯姆<b>忘</b>了要怎麼做。	Tom has forgotten how to do that.		https://en.m.wiktionary.org/wiki/忘#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #5849246 (CK) & #5865503 (verdastelo9604)
母親	他的<b>母親</b>不想做。	His mother didn't want to do it.		https://en.m.wiktionary.org/wiki/母親#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #770170 (marloncori) & #770204 (Martha)
去年	你<b>去年</b>住在哪儿？	Where did you live last year?		https://en.m.wiktionary.org/wiki/去年#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #69492 (CK) & #8924835 (crescat)
錯	怎麼能是湯姆的<b>錯</b>？	How could it be Tom's fault?		https://en.m.wiktionary.org/wiki/錯#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #5842772 (CK) & #6119455 (verdastelo9604)
站	你可以告訴我要怎麼去火車<b>站</b>嗎?	Can you tell me how to get to the train station?		https://en.m.wiktionary.org/wiki/站#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2656988 (Joseph) & #4805731 (umidake)
学生	你们学校有多少<b>学生</b>？	How many students are there in your school?		https://en.m.wiktionary.org/wiki/學生#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #70777 (CK) & #1502337 (fenfang557)
又	真高兴你<b>又</b>跟我们在一起了。	It's a pleasure to have you with us again.		https://en.m.wiktionary.org/wiki/又#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3725574 (CM) & #5818094 (verdastelo9604)
学习	我今天不想<b>学习</b>英语。	I don't feel like studying English today.		https://en.m.wiktionary.org/wiki/學習#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #242778 (CK) & #1430245 (sadhen)
女人	那个拿着花的<b>女人</b>是谁？	Who is that woman holding the flowers?		https://en.m.wiktionary.org/wiki/女人#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #289634 (CK) & #811040 (fucongcong)
認識	我<b>認識</b>他但是我不知道他的名字。	I know him, but I don't know his name.		https://en.m.wiktionary.org/wiki/認識#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #770091 (marloncori) & #770347 (Martha)
那里	我不知道什么时候要在<b>那里</b>。	I don't know when I should be there.	I don't know when I need to be there.	https://en.m.wiktionary.org/wiki/那裏#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3408778 (CK) & #9959071 (GlossaMatik)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #3618867 (CK) & #9959071 (GlossaMatik)
別	我在說<b>別</b>的事。	I was talking about something else.		https://en.m.wiktionary.org/wiki/別#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2540225 (CK) & #6146639 (verdastelo9604)
網球	我明天會去打<b>網球</b>。	I am going to play tennis tomorrow.		https://en.m.wiktionary.org/wiki/網球#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #261921 (CK) & #881532 (Martha)
妹妹	我會帶我<b>妹妹</b>去派對。	I'll bring my sister to the party.		https://en.m.wiktionary.org/wiki/妹妹#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #322352 (CK) & #894084 (Martha)
晚上	明天<b>晚上</b>我們有一個派對。	We have a party tomorrow evening.	We're having a party tomorrow night.	https://en.m.wiktionary.org/wiki/晚上#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #247849 (CK) & #872381 (Martha)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2641404 (CK) & #872381 (Martha)
健康	游泳對你的<b>健康</b>很好。	Swimming is good for your health.		https://en.m.wiktionary.org/wiki/健康#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #270880 (CK) & #858024 (Martha)
回來	湯姆告訴我他正在<b>回來</b>。	Tom told me he was coming back.	Tom told me that he was coming back.	https://en.m.wiktionary.org/wiki/迴來#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #6350271 (CK) & #6535848 (verdastelo9604)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #7123687 (CK) & #6535848 (verdastelo9604)
不到	我們找<b>不到</b>湯姆。	We weren't able to find Tom.		https://en.m.wiktionary.org/wiki/不到#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #6660454 (CK) & #6845605 (verdastelo9604)
老师	汤姆没明白<b>老师</b>说了什么。	Tom didn't understand what the teacher said.		https://en.m.wiktionary.org/wiki/老師#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1026276 (CK) & #5091156 (mirrorvan)
离开	如果你<b>离开</b>日本，我会非常想你的。	I will badly miss you if you leave Japan.		https://en.m.wiktionary.org/wiki/離開#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #71334 (CK) & #397145 (fucongcong)
這本書	我昨晚看完了<b>這本書</b>。	I finished reading the book last night.		https://en.m.wiktionary.org/wiki/這本書#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #257823 (CK) & #883433 (Martha)
抱歉	我很<b>抱歉</b>, 但它就是不可能的。	I'm sorry, but it's just not possible.		https://en.m.wiktionary.org/wiki/抱歉#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #28666 (CK) & #778506 (Martha)
感到	我听了<b>感到</b>抱歉。	I'm sorry to hear it.		https://en.m.wiktionary.org/wiki/感到#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #41765 (CK) & #5900185 (verdastelo9604)
幾乎	我們<b>幾乎</b>完成了我們的工作。	We have almost finished our work.		https://en.m.wiktionary.org/wiki/幾乎#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #245421 (CK) & #872378 (Martha)
被	那個工作幾乎<b>被</b>完成了。	That job is pretty much finished.		https://en.m.wiktionary.org/wiki/被#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #47648 (CK) & #873281 (Martha)
很大	這個地方<b>很大</b>，不是嗎？	This place is large, isn't it?		https://en.m.wiktionary.org/wiki/很大#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #435614 (CK) & #870041 (Martha)
一名	我不是<b>一名</b>警察。	I'm not a policeman.		https://en.m.wiktionary.org/wiki/一名#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1891031 (CK) & #10058513 (slo_oth)
当	汤姆告诉我他想<b>当</b>医生。	Tom told me that he'd like to become a doctor.		https://en.m.wiktionary.org/wiki/當#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #4761955 (CK) & #4764575 (ryanwoo)
才	我<b>才</b>是那个想和你在一起的人！	I'm the one who wants to be with you.		https://en.m.wiktionary.org/wiki/纔#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #71231 (Dejo) & #5554511 (Alieen)
決定	湯姆不能<b>決定</b>從哪裡開始。	Tom couldn't decide where to begin.		https://en.m.wiktionary.org/wiki/決定#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1026608 (CK) & #6119428 (verdastelo9604)
後	我們讓他做最<b>後</b>的決定。	We left the final decision to him.		https://en.m.wiktionary.org/wiki/後#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #22966 (CK) & #905854 (Martha)
我想	<b>我想</b>告訴你一些事情。	I would like to tell you something.		https://en.m.wiktionary.org/wiki/我想#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #71165 (CK) & #893033 (Martha)
儿子	我<b>儿子</b>现在和我一样高了。	My son is now as tall as I am.		https://en.m.wiktionary.org/wiki/兒子#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #274430 (CK) & #397550 (fucongcong)
笑	我們没有<b>笑</b>話你。	We weren't making fun of you.		https://en.m.wiktionary.org/wiki/笑#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3728987 (CM) & #6141297 (verdastelo9604)
总是	他<b>总是</b>在笑。	He's always smiling.	He is always laughing.	https://en.m.wiktionary.org/wiki/總是#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1211565 (alec) & #334059 (fucongcong)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #66062 (Scott) & #334059 (fucongcong)
眼睛	你的<b>眼睛</b>为什么那么大？	Why are your eyes so big?		https://en.m.wiktionary.org/wiki/眼睛#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #36496 (CM) & #399221 (GlossaMatik)
真相	我不认为汤姆会把事情的<b>真相</b>告诉我们。	I don't think that it's very likely that Tom will tell us the truth about what happened.		https://en.m.wiktionary.org/wiki/真相#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #7226988 (CK) & #8502959 (maxine)
帮助	如果不是因为有你的<b>帮助</b>，我不可能完成了这个工作。	If it had not been for your help, I couldn't have completed the work.		https://en.m.wiktionary.org/wiki/幫助#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #30866 (CK) & #333151 (fucongcong)
高興	我很<b>高興</b>有這麼多好朋友。	I am happy to have so many good friends.		https://en.m.wiktionary.org/wiki/高興#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #30050 (CK) & #2637067 (cienias)
一樣	他和從前不<b>一樣</b>。	He is different from what he used to be.		https://en.m.wiktionary.org/wiki/一樣#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #300557 (CK) & #3710598 (egg0073)
不好	吃得太多对健康<b>不好</b>。	Eating too much is bad for your health.		https://en.m.wiktionary.org/wiki/不好#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #536360 (darinmex) & #512929 (fucongcong)
信	我告诉你，你也不会<b>信</b>。	You wouldn't believe me if I told you.		https://en.m.wiktionary.org/wiki/信#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2539039 (CK) & #5663581 (verdastelo9604)
我家	你今晚能不能到<b>我家</b>来？	Can you come over to my house tonight?		https://en.m.wiktionary.org/wiki/我傢#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3387481 (CK) & #3516392 (GlossaMatik)
棒球	汤姆打<b>棒球</b>打的非常好。	Tom certainly is good at baseball.		https://en.m.wiktionary.org/wiki/棒球#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1095426 (CK) & #4104747 (maple)
手	他是个棒球<b>手</b>。	He is a baseball player.		https://en.m.wiktionary.org/wiki/手#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #304260 (Eldad) & #335624 (fucongcong)
坐在	我認識<b>坐在</b>那裡的那個男人。	I know the man sitting over there.		https://en.m.wiktionary.org/wiki/坐在#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #257366 (CK) & #875285 (Martha)
冷	昨天不是很<b>冷</b>。	It was not very cold yesterday.		https://en.m.wiktionary.org/wiki/冷#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #244476 (CK) & #850119 (Martha)
休息	汤姆现在在<b>休息</b>。	Tom is resting at the moment.		https://en.m.wiktionary.org/wiki/休息#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2713149 (CK) & #5983587 (verdastelo9604)
无法	我<b>无法</b>相信自己的眼睛。	I can't believe my eyes.		https://en.m.wiktionary.org/wiki/無法#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #6133 (CK) & #332561 (fucongcong)
这件	我跟你说过她在的时候不要说<b>这件</b>事。	I told you not to mention that in her presence.	I told you not to talk about the matter in her presence.	https://en.m.wiktionary.org/wiki/這件#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #661272 (Eldad) & #465025 (fucongcong)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #309524 (CK) & #465025 (fucongcong)
散步	我今天早上不想<b>散步</b>。	I don't feel like taking a walk this morning.		https://en.m.wiktionary.org/wiki/散步#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #62600 (CK) & #333767 (fucongcong)
蘋果	他們的<b>蘋果</b>沒有我們的好。	Their apples aren't as good as our apples.		https://en.m.wiktionary.org/wiki/蘋果#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3353706 (alester237) & #5542970 (egg0073)
老師	我有一個朋友, 他的父親是<b>老師</b>。	I have a friend whose father is a teacher.		https://en.m.wiktionary.org/wiki/老師#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #250003 (CK) & #766941 (Martha)
必要	我真的不认为汤姆有<b>必要</b>那么做。	I don't really think Tom needs to do that.		https://en.m.wiktionary.org/wiki/必要#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #6239257 (CK) & #7823029 (basilhan)
有些	我<b>有些</b>钱。	I have a certain amount of money on me.		https://en.m.wiktionary.org/wiki/有些#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3822672 (CK) & #5663459 (verdastelo9604)
唱歌	我不想聽湯姆<b>唱歌</b>。	I didn't want to listen to Tom singing.		https://en.m.wiktionary.org/wiki/唱歌#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #6074306 (CK) & #6903794 (verdastelo9604)
哥哥	你看起来很像你的<b>哥哥</b>。	You look just like your older brother.		https://en.m.wiktionary.org/wiki/哥哥#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1396428 (CK) & #2030813 (sadhen)
发现	我们<b>发现</b>他是她的父亲。	We found out that he was her father.		https://en.m.wiktionary.org/wiki/發現#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #471123 (CK) & #472837 (fucongcong)
打电话	怎么你昨晚没有给我<b>打电话</b>？	Why didn't you call me last night?	How come you didn't call me last night?<br>Why didn't you call me yesterday evening?	https://en.m.wiktionary.org/wiki/打電話#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1066066 (CK) & #1313885 (vicch)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #38672 (jakov) & #1313885 (vicch)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #1506901 (fenfang557) & #1313885 (vicch)
任何人	汤姆不想跟<b>任何人</b>说话。	Tom didn't want to talk to anyone.	Tom doesn't want to talk to anyone.<br>Tom doesn't want to talk to anybody.	https://en.m.wiktionary.org/wiki/任何人#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3181879 (CK) & #5845588 (verdastelo9604)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #6223056 (CK) & #5845588 (verdastelo9604)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2018859 (CK) & #5845588 (verdastelo9604)
消息	我沒有他的任何<b>消息</b>。	I have heard nothing from him yet.		https://en.m.wiktionary.org/wiki/消息#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #65900 (CK) & #876364 (Martha)
因為	我去了那裡，<b>因為</b>我想去。	I went there because I wanted to.		https://en.m.wiktionary.org/wiki/因為#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #257411 (CK) & #875380 (Martha)
一位	他说话就像<b>一位</b>老师。	He talks as if he were a teacher.		https://en.m.wiktionary.org/wiki/一位#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #292971 (AlanF_US) & #718456 (ZeroAurora)
看见	在他们<b>看见</b>你之前离开这儿。	Go away before they see you here.		https://en.m.wiktionary.org/wiki/看見#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1452803 (Spamster) & #2499983 (fenfang557)
决定	你是<b>决定</b>做这个工作的那个人，对吗？	You're the one who decided to do this job, right?		https://en.m.wiktionary.org/wiki/決定#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #4844662 (CK) & #4844664 (pig8322)
准备	汤姆说他没<b>准备</b>好，但玛丽说她<b>准备</b>好了。	Tom said he wasn't ready, but Mary said she was.		https://en.m.wiktionary.org/wiki/準備#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2537669 (CK) & #5574524 (verdastelo9604)
注意	你应该更<b>注意</b>你说的话。	You should pay more attention to what you say.		https://en.m.wiktionary.org/wiki/注意#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #17236 (Swift) & #410839 (fucongcong)
照片	她会把她的<b>照片</b>给想要的人。	She'll give her photo to whoever wants it.	She will give her picture to whoever wants it.	https://en.m.wiktionary.org/wiki/照片#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #578247 (FeuDRenais) & #334072 (fucongcong)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #310037 (CK) & #334072 (fucongcong)
似乎	她<b>似乎</b>喜歡上了我哥哥。	She seems to be in love with my brother.		https://en.m.wiktionary.org/wiki/似乎#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #314311 (CM) & #5405489 (egg0073)
懂	我真的不<b>懂</b>这个问题。	I really don't understand this problem.		https://en.m.wiktionary.org/wiki/懂#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #477179 (CM) & #476188 (fucongcong)
只有	<b>只有</b>你懂我。	You're the only one who understands me.		https://en.m.wiktionary.org/wiki/隻有#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2955059 (CK) & #5706109 (xjjAstrus)
無法	你<b>無法</b>為湯姆做甚麼。	There's nothing you can do for Tom.		https://en.m.wiktionary.org/wiki/無法#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3171791 (CK) & #6325086 (verdastelo9604)
认识	我不<b>认识</b>她，也不想<b>认识</b>。	I don't know her, nor do I want to.		https://en.m.wiktionary.org/wiki/認識#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #396559 (blay_paul) & #786015 (fucongcong)
通常	你<b>通常</b>什麼時候起床？	What time do you usually get up?		https://en.m.wiktionary.org/wiki/通常#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #16774 (CK) & #818093 (Martha)
坐	我在找地方<b>坐</b>。	I'm looking for a place to sit.		https://en.m.wiktionary.org/wiki/坐#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #5004164 (CK) & #5863300 (verdastelo9604)
将	我<b>将</b>6点回来。	I'll be back by six o'clock.		https://en.m.wiktionary.org/wiki/將#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #262300 (CK) & #1446899 (asosan)
長	湯姆不可能比我年<b>長</b>。	Tom can't be older than me.		https://en.m.wiktionary.org/wiki/長#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2713285 (CK) & #7980307 (Leolaaziano)
妈妈	她告诉我她<b>妈妈</b>买给她了。	She told me that her mother had bought it for her.		https://en.m.wiktionary.org/wiki/媽媽#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #310018 (CK) & #334038 (fucongcong)
这样	我很高兴没有买<b>这样</b>的东西。	I'm glad that I didn't buy something like this.		https://en.m.wiktionary.org/wiki/這樣#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #485885 (minshirui) & #465842 (fucongcong)
美国	她有很多<b>美国</b>朋友。	She has many friends in the United States.		https://en.m.wiktionary.org/wiki/美國#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1355918 (AMIKEMA) & #1424225 (sadhen)
早餐	汤姆的<b>早餐</b>经常吃什么？	What does Tom usually eat for breakfast?		https://en.m.wiktionary.org/wiki/早餐#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #6341368 (CK) & #9690040 (iMaple)
猫	我们的孩子喜欢狗，但我更喜欢<b>猫</b>。	Our child likes dogs, but I prefer cats.	Our children like dogs, but I prefer cats.	https://en.m.wiktionary.org/wiki/貓#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1266415 (yifen238) & #332805 (fucongcong)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #247536 (CK) & #332805 (fucongcong)
覺得	你在做你<b>覺得</b>對的事嗎?	Are you doing what you think is right?		https://en.m.wiktionary.org/wiki/覺得#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #16834 (Dejo) & #1225673 (tsayng)
事故	这里就是<b>事故</b>发生的地方。	This is where the accident happened.		https://en.m.wiktionary.org/wiki/事故#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #62144 (CK) & #10972056 (xjjAstrus)
公司	她以前在我們<b>公司</b>工作。	She used to work for our company.		https://en.m.wiktionary.org/wiki/公司#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #310664 (CK) & #900683 (Martha)
失去	我不想再<b>失去</b>你。	I don't want to lose you again.		https://en.m.wiktionary.org/wiki/失去#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2014277 (CK) & #5091449 (mirrorvan)
電話	有你的<b>電話</b>。	You are wanted on the phone.		https://en.m.wiktionary.org/wiki/電話#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #17453 (CK) & #871167 (Martha)
給我	<b>給我</b>東西吃。	Bring me something to eat.		https://en.m.wiktionary.org/wiki/給我#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #25074 (CK) & #832971 (Martha)
成为	你想<b>成为</b>什么？	What do you want to be?		https://en.m.wiktionary.org/wiki/成為#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #16263 (CK) & #469410 (fucongcong)
天气	“你什么时候回来？”“这都要看<b>天气</b>。”	"When will you be back?" "It all depends on the weather."	"When will you come back?" "It all depends on the weather."	https://en.m.wiktionary.org/wiki/天氣#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1506 (CK) & #334488 (fucongcong)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #386683 (Mouseneb) & #334488 (fucongcong)
小时	我该去买东西了，我一<b>小时</b>后回来。	I have to go shopping. I'll be back in an hour.		https://en.m.wiktionary.org/wiki/小時#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1650 (CK) & #501524 (fucongcong)
结婚	你为什么不告诉汤姆你已经<b>结婚</b>了？	Why didn't you tell Tom that you were married?		https://en.m.wiktionary.org/wiki/結婚#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3204604 (CK) & #5630443 (verdastelo9604)
年轻	这是我<b>年轻</b>时候住的房子。	This is the house I lived in when I was young.	This is the house where I used to live when I was young.	https://en.m.wiktionary.org/wiki/年輕#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1133585 (CK) & #334790 (fucongcong)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #45565 (CK) & #334790 (fucongcong)
好像	那隻狗看起來<b>好像</b>想吃東西。	It looks like the dog wants something to eat.		https://en.m.wiktionary.org/wiki/好像#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #884602 (Tajfun) & #884601 (Tajfun)
學生	幾乎沒有<b>學生</b>能懂他所說的話。	Few students could understand what he said.		https://en.m.wiktionary.org/wiki/學生#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #283596 (CK) & #875345 (Martha)
每个	似乎不是<b>每个</b>人都同意汤姆。	Not everyone seems to agree with Tom.		https://en.m.wiktionary.org/wiki/每個#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #5936938 (CK) & #9973721 (GlossaMatik)
妻子	他不知道为什么他的<b>妻子</b>要离开他。	He had no idea why his wife left him.		https://en.m.wiktionary.org/wiki/妻子#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #292264 (CK) & #1360023 (sadhen)
兩個	我在日本已經<b>兩個</b>月了。	I have been in Japan for two months.		https://en.m.wiktionary.org/wiki/兩個#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #259805 (CK) & #919688 (Martha)
開車	我們老師<b>開車</b>來學校。	Our teacher comes to school by car.		https://en.m.wiktionary.org/wiki/開車#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #247610 (CK) & #894033 (Martha)
計劃	你的<b>計劃</b>似乎比我的好。	Your plan seems better than mine.		https://en.m.wiktionary.org/wiki/計劃#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #17258 (CK) & #872124 (Martha)
害怕	我不<b>害怕</b>任何東西。	I am not frightened of anything.		https://en.m.wiktionary.org/wiki/害怕#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #256392 (CK) & #848638 (Martha)
想法	我開始同意你的<b>想法</b>了。	I'm starting to agree with you.		https://en.m.wiktionary.org/wiki/想法#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2541795 (CK) & #6114448 (verdastelo9604)
常常	我<b>常常</b>和她打網球。	I often played tennis with her.		https://en.m.wiktionary.org/wiki/常常#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #253892 (CK) & #846069 (Martha)
偷	我們被<b>偷</b>了。	We were robbed.		https://en.m.wiktionary.org/wiki/偷#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #4397511 (CK) & #6284532 (xjjAstrus)
感觉	我<b>感觉</b>你想告诉我什么事。	I get the feeling you're trying to tell me something.		https://en.m.wiktionary.org/wiki/感覺#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1051697 (CK) & #2395020 (fenfang557)
是否	Tom想知道你<b>是否</b>有時間幫助他。	Tom wants to know if you have time to help him.		https://en.m.wiktionary.org/wiki/是否#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #9711757 (kupo033) & #4504275 (egg0073)
许多	<b>许多</b>学生喜欢在早上学习。	Many students like to study in the morning.		https://en.m.wiktionary.org/wiki/許多#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #1712930 (Amastan) & #1783903 (sadhen)
这种	我不想<b>这种</b>事发生。	I don't want something like this to happen.		https://en.m.wiktionary.org/wiki/這種#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #432771 (aliene) & #335050 (fucongcong)
由	买不买<b>由</b>你决定。	It's up to you whether to buy it or not.		https://en.m.wiktionary.org/wiki/由#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #10283416 (CK) & #2028037 (ydcok)
字典	这是我每天都用的<b>字典</b>。	This is the dictionary I use every day.		https://en.m.wiktionary.org/wiki/字典#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #55644 (Swift) & #401039 (fucongcong)
两个	你们<b>两个</b>在一起多久了？	How long have you two been together?		https://en.m.wiktionary.org/wiki/兩個#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #953335 (CK) & #5780590 (verdastelo9604)
老	那女人比我<b>老</b>很多。	That woman is much older than I am.		https://en.m.wiktionary.org/wiki/老#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #497133 (CK) & #6103046 (verdastelo9604)
弟弟	我希望湯姆是我的<b>弟弟</b>。	I wish Tom were my younger brother.		https://en.m.wiktionary.org/wiki/弟弟#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #37403 (CK) & #893049 (Martha)
接受	我不<b>接受</b>。	I don't accept it.	I won't accept that.	https://en.m.wiktionary.org/wiki/接受#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #2283760 (CK) & #5897891 (verdastelo9604)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2271941 (CK) & #5897891 (verdastelo9604)
結婚	你哥哥<b>結婚</b>了，不是嗎？	Your brother got married, didn't he?		https://en.m.wiktionary.org/wiki/結婚#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #64546 (CK) & #802493 (Martha)
法語	湯姆的<b>法語</b>已經很好了。	Tom's French is already rather good.		https://en.m.wiktionary.org/wiki/法語#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #3732656 (CK) & #5663464 (verdastelo9604)
借	你可以<b>借</b>我你的字典嗎?	Would you lend me your dictionary?		https://en.m.wiktionary.org/wiki/藉#Definitions	CC-BY 2.0 (France) Attribution: tatoeba.org #776001 (CK) & #777014 (Martha)
